Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,C_a,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio,Fecha
AMXL,AMERICA MOVIL L,Equity,13.7,15.69,"634,706,362.00","9,958,542,819.78","9,958,542,819.78",Comunicación,2667470,MXP001691213,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/01/2020
FEMSAUBD,FOMENTO ECONOMICO MEXICANO,Equity,11.85,170.37,"50,554,056.00","8,612,894,520.72","8,612,894,520.72",Productos básicos de consumo,2242059,MXP320321310,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/01/2020
GFNORTEO,GPO FINANCE BANORTE,Equity,10.64,116.09,"66,664,611.00","7,739,094,690.99","7,739,094,690.99",Financieros,2421041,MXP370711014,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/01/2020
WALMEX,WALMART DE MEXICO V,Equity,10.39,54.85,"137,735,088.00","7,554,769,576.80","7,554,769,576.80",Productos básicos de consumo,BW1YVH8,MX01WA000038,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/01/2020
GMEXICOB,GRUPO MEXICO B,Equity,6.03,50.46,"86,818,080.00","4,380,840,316.80","4,380,840,316.80",Materiales,2643674,MXP370841019,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/01/2020
CEMEXCPO,CEMEX CPO,Equity,4.3,7.6,"411,737,485.00","3,129,204,886.00","3,129,204,886.00",Materiales,2406457,MXP225611567,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/01/2020
TLEVISAC,GRUPO TELEVISA,Equity,3.96,41.83,"68,818,731.00","2,878,687,517.73","2,878,687,517.73",Comunicación,2380108,MXP4987V1378,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/01/2020
GAPB,GRUPO AEROPORTUARIO DEL PACIFICO,Equity,3.29,233.54,"10,246,476.00","2,392,962,005.04","2,392,962,005.04",Industriales,B0ZV104,MX01GA000004,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/01/2020
ELEKTRA,GRUPO ELEKTRA,Equity,3.02,"1,383.14","1,586,746.00","2,194,691,862.44","2,194,691,862.44",Financieros,2967084,MX01EL000003,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/01/2020
ASURB,GRUPO AEROPORTUARIO DEL SURESTE B,Equity,2.75,363.07,"5,500,537.00","1,997,079,968.59","1,997,079,968.59",Industriales,2639349,MXP001661018,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/01/2020
KOFUBL,COCA-COLA FEMSA CLASS UBL UNITS,Equity,2.26,114.94,"14,284,502.00","1,641,860,659.88","1,641,860,659.88",Productos básicos de consumo,BHHP0S4,MX01KO000002,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/01/2020
KIMBERA,KIMBERLY-CLARK DE MEXICO CLASS A,Equity,2.06,38.97,"38,402,911.00","1,496,561,441.67","1,496,561,441.67",Productos básicos de consumo,2491914,MXP606941179,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/01/2020
BIMBOA,GRUPO BIMBO A,Equity,1.87,33.81,"40,264,846.00","1,361,354,443.26","1,361,354,443.26",Productos básicos de consumo,2392471,MXP495211262,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/01/2020
OMAB,GRUPO AEROPORTUARIO DEL CENTRO NOR,Equity,1.85,143.87,"9,356,755.00","1,346,156,341.85","1,346,156,341.85",Industriales,B1KFX13,MX01OM000018,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/01/2020
AC,ARCA CONTINENTAL,Equity,1.77,107.01,"11,996,909.00","1,283,789,232.09","1,283,789,232.09",Productos básicos de consumo,2823885,MX01AC100006,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/01/2020
